"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_log2FC","roc_avg_diff","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"908","LINC00320",387486,NA,"Oligodendrocyte",0.582,0.255,3.80205122600848,2.63538108765227,0.701,0.402,0,0
"909","LINC00343",144920,NA,"L6 IT",0.558,0.11,3.28784205070723,2.27895844757415,0.739,0.478,0,0
"910","LINC00348",100885781,NA,"L5/6 IT Car3",0.364,0.108,6.61072658389247,4.58220649307774,0.644,0.288,0,0
"911","LINC00403",100505996,NA,"LAMP5",0.837,0.233,3.16893308217232,2.19653703129088,0.853,0.706,0,0
"912","LINC00467",84791,NA,"Astrocyte",0.394,0.201,3.4391901954967,2.38386498741794,0.62,0.24,1.99706020429985e-240,1.00414184132401e-235
"913","LINC00470",56651,NA,"L2/3 IT",0.683,0.217,2.78169753700064,1.92812580494254,0.77,0.54,0,0
"914","LINC00486",285045,NA,"Oligodendrocyte",0.747,0.605,2.83034651742218,1.96184670855885,0.635,0.27,3.97362390592699e-116,1.99797783613915e-111
"915","LINC00499",100874047,NA,"Astrocyte",0.859,0.188,8.77687704070786,6.08366757488796,0.913,0.826,0,0
"916","LINC00504",201853,NA,"VLMC",0.545,0.559,3.09452431951744,2.1449608072477,0.466,0.0679999999999999,NA,NA
"917","LINC00507",100862680,NA,"L2/3 IT",0.691,0.08,3.70294226684224,2.56668399203795,0.814,0.628,0,0
"918","LINC00508",104472718,NA,"L2/3 IT",0.553,0.179,2.56886071331303,1.78059856068414,0.712,0.424,0,0
"919","LINC00578",100505566,NA,"Microglia",0.46,0.467,3.05051825686492,2.11445812899256,0.52,0.04,2.64174591019983e-22,1.32829626110758e-17
"920","LINC00607",646324,NA,"VLMC",0.364,0.256,2.58628338999496,1.79267503990402,0.582,0.164,0.000360399409498559,1
"921","LINC00609",101101773,NA,"Oligodendrocyte",0.784,0.212,5.87710840668709,4.07370112194031,0.856,0.712,0,0
"922","LINC00707",100507127,NA,"Astrocyte",0.409,0.178,3.90430421211521,2.70625745667598,0.638,0.276,0,0
"923","LINC00844",100507008,NA,"Oligodendrocyte",0.617,0.041,6.37614113503152,4.41960425059939,0.798,0.596,0,0
"924","LINC00861",100130231,NA,"L5 ET",0.734,0.027,4.8349794997115,3.35135240829016,0.861,0.722,5.83994604626657e-198,2.93638327152329e-193
"925","LINC00924",145820,NA,"VLMC",0.364,0.036,5.29641449418809,3.6711947737233,0.667,0.334,9.22177037514915e-05,1
"926","LINC00982",440556,NA,"Astrocyte",0.613,0.004,7.22355235370433,5.00698494759731,0.806,0.612,0,0
"927","LINC00996",285972,NA,"Microglia",0.472,0.016,8.06521900946197,5.59038381700704,0.732,0.464,0,0
"928","LINC01091",285419,NA,"Microglia",0.663,0.451,5.22371901138144,3.62080610477643,0.681,0.362,7.99495730790046e-251,4.01994448398543e-246
"929","LINC01105",150622,NA,"Oligodendrocyte",0.591,0.166,3.86444764472062,2.67863098935962,0.739,0.478,0,0
"930","LINC01141",339505,NA,"Microglia",0.756,0.164,6.45333924839077,4.4731139052189,0.843,0.686,0,0
"931","LINC01162",104355138,NA,"PAX6",0.594,0.396,3.90030715195172,2.70348690569313,0.643,0.286,3.56402432562365e-225,1.79202707116683e-220
"932","LINC01164",399827,NA,"Other IT",0.561,0.042,4.42878996086057,3.06980327466269,0.765,0.53,0,0
"933","LINC01170",103724389,NA,"Oligodendrocyte",0.769,0.425,6.05452112927617,4.19667425039839,0.806,0.612,0,0
"934","LINC01179",101928151,NA,"L5/6 NP",0.363,0.067,3.61057290315937,2.50265842803106,0.656,0.312,1.60880557652337e-241,8.08923531931717e-237
"935","LINC01237",101927289,NA,"VLMC",0.636,0.256,4.28710227510806,2.97159285476328,0.749,0.498,6.72563815721303e-06,0.338171812182829
"936","LINC01268",285758,NA,"Microglia",0.54,0.016,8.52534528160446,5.90931904524416,0.766,0.532,0,0
"937","LINC01285",101928287,NA,"Astrocyte",0.394,0.214,2.74083662856515,1.89980318146536,0.608,0.216,5.96670317713235e-107,3.00011802449392e-102
"938","LINC01340",102546227,NA,"Astrocyte",0.479,0.418,2.68293042143566,1.85966565725664,0.556,0.112,4.33751293871074e-33,2.18094488071315e-28
"939","LINC01470",101927134,NA,"Oligodendrocyte",0.822,0.676,5.37729061547169,3.72725382916566,0.757,0.514,0,0
"940","LINC01478",101927921,NA,"L2/3 IT",0.595,0.432,2.63300958526689,1.82506317041506,0.633,0.266,0,0
"941","LINC01500",102723742,NA,"L2/3 IT",0.437,0.347,3.11505035475473,2.1591883707005,0.567,0.134,0,0
"942","LINC01507",101927477,NA,"L5/6 NP",0.767,0.129,4.69208276741983,3.25230394119096,0.856,0.712,0,0
"943","LINC01508",101927873,NA,"L5/6 NP",0.447,0.175,3.53364362983405,2.44933511912308,0.66,0.32,7.98918093501146e-258,4.01704006593311e-253
"944","LINC01515",101928913,NA,"VLMC",0.545,0.168,4.55292658221737,3.1558482237604,0.713,0.426,1.12283351214908e-09,5.64571918243677e-05
"945","LINC01517",101929218,NA,"L6b",0.372,0.202,3.04200711387665,2.1085586542269,0.605,0.21,0,0
"946","LINC01572",101927957,NA,"Oligodendrocyte",0.902,0.794,2.71254483804371,1.88019280663243,0.733,0.466,0,0
"947","LINC01579",283682,NA,"L5/6 IT Car3",0.892,0.419,3.35576200688503,2.32603697370254,0.864,0.728,0,0
"948","LINCR.0003",NA,NA,"PAX6",0.745,0.351,2.72914347062427,1.8916981020068,0.769,0.538,5.52098135736355e-84,2.77600463629596e-79
"949","LIPA",3988,"ENSG00000107798","Oligodendrocyte",0.509,0.402,2.79899443225187,1.94011509911837,0.605,0.21,4.56761431474952e-191,2.2966421535992e-186
"950","LITAF",9516,"ENSG00000189067","Oligodendrocyte",0.574,0.399,4.75281448779842,3.29439996194194,0.657,0.314,0,0
"951","LLGL2",3993,"ENSG00000073350","Oligodendrocyte",0.425,0.235,4.51693631762835,3.13090167333291,0.627,0.254,0,0
"952","LMCD1.AS1",NA,NA,"Oligodendrocyte",0.724,0.477,3.09138189576342,2.14278264508247,0.726,0.452,0,0
"953","LMNA",4000,"ENSG00000160789","Pericyte",0.594,0.388,3.98281019008498,2.76067365396282,0.657,0.314,7.54694995642483e-10,3.79468190758997e-05
"954","LMO2",4005,"ENSG00000135363","Endothelial",0.629,0.11,5.69179332346376,3.94525049448883,0.788,0.576,1.60101171516436e-61,8.05004700501791e-57
"955","LMOD1",25802,"ENSG00000163431","Astrocyte",0.476,0.241,3.80117049749596,2.63477061316697,0.65,0.3,0,0
"956","LOC100128714",100128714,NA,"L5/6 IT Car3",0.571,0.303,2.52821484385276,1.75242499086635,0.672,0.344,1.2888796718496e-180,6.48061587802698e-176
"957","LOC100130370",100130370,NA,"Oligodendrocyte",0.461,0.042,5.56439868425586,3.85694725950342,0.717,0.434,0,0
"958","LOC100130459",100130459,NA,"VLMC",0.273,0.459,2.9823521080159,2.06720895510822,0.433,0.134,0.0143642342539407,1
"959","LOC100133286",100133286,NA,"Oligodendrocyte",0.35,0.272,2.57093660227099,1.78203745726251,0.56,0.12,6.78562888711899e-178,3.4118820607323e-173
"960","LOC100287225",100287225,NA,"Oligodendrocyte",0.618,0.239,4.60369980987522,3.19104154335936,0.74,0.48,0,0
"961","LOC100288570",100288570,NA,"VLMC",0.455,0.057,4.70778119904624,3.26318526481202,0.707,0.414,8.72703592420427e-11,4.38804093304915e-06
"962","LOC100288798",100288798,NA,"Microglia",0.527,0.623,2.50709052972566,NA,NA,NA,5.80383819419738e-26,2.91822788242438e-21
"963","LOC100289279",100289279,"ENSG00000283378","PVALB",0.799,0.224,2.8282721905801,1.9604088947567,0.835,0.67,0,0
"964","LOC100289473",100289473,NA,"Astrocyte",0.506,0.109,4.48131221475653,3.10620892686733,0.714,0.428,0,0
"965","LOC100419574",100419574,NA,"Endothelial",0.4,0.096,3.93420826088922,2.72698536377101,0.664,0.328,3.64756674308922e-31,1.83403303409269e-26
"966","LOC100419579",100419579,NA,"Endothelial",0.529,0.12,4.43014137881412,3.07074000620696,0.719,0.438,1.49271428627408e-35,7.5055167028147e-31
"967","LOC100420850",100420850,NA,"VLMC",0.545,0.465,2.76864003986088,1.91907503761494,0.54,0.0800000000000001,NA,NA
"968","LOC100506532",100506532,NA,"L5 ET",0.62,0.122,2.81129269977647,1.94863960857882,0.768,0.536,4.60709633858074e-63,2.31649411000178e-58
"969","LOC100506725",100506725,NA,"Oligodendrocyte",0.513,0.032,6.63838240089746,4.60137604466083,0.746,0.492,0,0
"970","LOC100507053",100507053,NA,"Astrocyte",0.491,0.433,3.03828790575244,2.10598069560169,0.561,0.122,1.45687434883319e-112,7.32530991336817e-108
"971","LOC100507131",100507131,NA,"Astrocyte",0.462,0.141,3.36802770700819,2.3345389091605,0.677,0.354,2.68050053228147e-261,1.34778247263645e-256
"972","LOC100507283",100507283,NA,"VLMC",0.364,0.179,3.41430441460921,2.36661547855975,0.596,0.192,NA,NA
"973","LOC100507334",100507334,NA,"VLMC",0.545,0.103,3.20754817501257,2.22330297402016,0.739,0.478,3.96721932148511e-07,0.0199475754703593
