"","gene","entrez_id","ensembl_id","class","pct.1","pct.2","avg_log2FC","roc_avg_diff","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"794","KIRREL",55243,"ENSG00000183853","GABAergic",0.38,0.175,3.6736900107417,2.54640787319684,0.623,0.246,0,0
"795","KIT",3815,"ENSG00000157404","GABAergic",0.418,0.104,5.9884538075817,4.15087987263873,0.674,0.348,0,0
"796","KLF17",128209,"ENSG00000171872","Non-neuronal",0.351,0.275,2.21195493170313,1.53321032443569,0.55,0.1,1.21660701649202e-86,6.11722173962354e-82
"797","KLF3",51274,"ENSG00000109787","Non-neuronal",0.281,0.327,1.90846201600421,1.32284506559907,0.491,0.018,3.05012529328038e-93,1.53363349871431e-88
"798","KLHL13",90293,"ENSG00000003096","GABAergic",0.578,0.497,1.74749420811822,1.21127068340198,0.576,0.152,0,0
"799","KLHL2",11275,"ENSG00000109466","Glutamatergic",0.89,0.429,1.53143517249767,1.0615099720271,0.809,0.618,0,0
"800","KLHL32",114792,"ENSG00000186231","Non-neuronal",0.705,0.823,1.62183257379113,1.12416867586359,0.537,0.0740000000000001,2.82921623804812e-189,1.42255821665298e-184
"801","KLHL4",56062,"ENSG00000102271","Non-neuronal",0.448,0.553,1.88027531140327,1.30330753077565,0.477,0.046,1.92016383369789e-95,9.65477577221635e-91
"802","KLHL5",51088,"ENSG00000109790","GABAergic",0.678,0.479,1.5972570366465,1.10713421158106,0.664,0.328,0,0
"803","KLK6",5653,"ENSG00000167755","Non-neuronal",0.252,0.018,6.46759243821082,4.48299346355665,0.619,0.238,0,0
"804","KMO",8564,"ENSG00000117009","GABAergic",0.291,0.291,2.28500741415163,1.58384644667777,0.519,0.038,0,0
"805","KNOP1",400506,"ENSG00000103550","Non-neuronal",0.366,0.385,2.22538233157271,1.54251748879755,0.529,0.0580000000000001,0,0
"806","KRCC1",51315,"ENSG00000172086","Non-neuronal",0.295,0.37,1.80237955898766,1.24931430961117,0.48,0.04,5.05589911526244e-119,2.54215663414511e-114
"807","KREMEN1",83999,"ENSG00000183762","Non-neuronal",0.356,0.36,2.02984730097103,1.40698293363529,0.508,0.016,2.02618267383862e-46,1.0187849102328e-41
