X1,gene,entrez_id,ensembl_id,class,pct.1,pct.2,avg_log2FC,roc_avg_diff,roc_myAUC,roc_power,MAST_p_val,MAST_p_val_adj,avg_expr,top_log2FC,bretigea_ranking,dan_ranking,bretigea_ranking_best
3766,SVIP,258010,ENSG00000198168,Non-neuronal,0.32,0.565,1.6205231599226,1.12326105933244,0.437,0.126,0,0,1.4706390904053324,-0.36621989477088934,1605.5,1924.5,1876.5
2968,PFKFB4,5210,ENSG00000114268,Non-neuronal,0.254,0.264,1.45983297388472,1.01187910993663,0.498,0.004,1.31306332243973e-10,6.60221369155919e-6,0.5348903973369762,-0.13816218074220588,2106,1835.5,1878
2509,MAOA,4128,ENSG00000189221,Non-neuronal,0.233,0.292,1.40211828996922,0.971874339503694,0.476,0.048,5.14885591866425e-39,2.58889624446357e-34,0.5632605441330932,-0.02354743411309468,2047,1787,1879
1803,LOC101926933,101926933,ENSG00000257285,Non-neuronal,0.19,0.18,1.26527077382551,0.877018869522053,0.508,0.016,5.13995035606413e-15,2.5844184385326e-10,0.30915115157461287,0.05677502969823456,2343.5,1863,1880
2919,PCBP1.AS1,400960,ENSG00000179818,Non-neuronal,0.715,0.835,1.29288055538042,0.896156511762711,0.478,0.044,1.78302910524399e-108,8.96524864407732e-104,2.5685997274624155,-0.10911622151578126,1432,1980.5,1881
2116,LOC105373262,105373262,NA,Non-neuronal,0.17,0.193,1.30372884167991,0.903675970825111,0.492,0.016,2.24091049309606e-27,1.12675220503363e-22,0.1753104505736887,0.22186317191430183,2298,1699,1882
3621,SMURF2,64750,ENSG00000108854,Non-neuronal,0.664,0.752,1.41729985456126,0.982397398197155,0.467,0.0659999999999999,9.34834086252858e-42,4.70043926908799e-37,2.051964145423833,-0.20263152138700535,1477,1933.5,1883
928,EMILIN2,84034,ENSG00000132205,Non-neuronal,0.206,0.214,1.61963485187517,1.1226453311139,0.501,0.002,8.35817563325803e-33,4.20257429015847e-28,0.3426585208543052,-0.2057797963357244,2234,1767,1884.5
1174,GATAD2A,54815,ENSG00000167491,Non-neuronal,0.507,0.558,1.60734739759073,1.11412831682038,0.487,0.026,3.18668855230525e-32,1.6022988709846e-27,1.186898547048102,-0.2482223097759473,1627.5,1823.5,1884.5
2819,NUP210L,91181,ENSG00000143552,Non-neuronal,0.756,0.8,1.40093416492836,0.971053566570184,0.495,0.01,8.21754635091393e-41,4.13186448070303e-36,1.4119965160060026,0.04977271747031198,1456.5,1723,1886
