"","gene","entrez_id","cluster","pct.1","pct.2","avg_logFC","MAST_p_val","MAST_p_val_adj","roc_myAUC","roc_power"
"677","LOC284930",284930,"Pyramidal",0.535,0.289,3.29919191576395,0,0,0.666,0.332
"678","LOC285626",285626,"Micro_C1QC",0.392,0.108,4.66067648282143,3.05728911701005e-253,1.53723554092382e-248,0.657,0.314
"679","LOC401134",401134,"Micro_C1QC",0.663,0.273,2.50426495820113,7.43927018887869e-177,3.74053944367009e-172,0.751,0.502
"680","LOC401478",401478,"Micro_C1QC",0.715,0.405,2.63886444746012,1.22589713889036e-257,6.16393340405464e-253,0.75,0.5
"681","LOC644135",644135,"Peri_MUSTN1",0.469,0.065,3.21114868878841,5.41119886545749e-10,2.72080490154068e-05,0.705,0.41
"682","LOC645321",645321,"Astro_FGFR3",0.519,0.029,2.91628002441618,0,0,0.746,0.492
"683","LOC648987",648987,"VLMC_CYP1B1",0.636,0.325,3.07293314679037,4.48637299341261e-07,0.022557932048178,0.739,0.478
"684","LPAR1",1902,"Oligo",0.91,0.239,2.90196851041995,0,0,0.917,0.834
"685","LPAR5",57121,"Micro_C1QC",0.616,0.237,4.61122258716541,0,0,0.746,0.492
"686","LPAR6",10161,"Micro_C1QC",0.971,0.083,5.63140774377647,0,0,0.982,0.964
"687","LPCAT2",54947,"Micro_C1QC",0.773,0.204,3.59937074756327,0,0,0.846,0.692
"688","LPL",4023,"Peri_MUSTN1",0.469,0.069,3.93122842252025,1.06499848578812e-21,5.35491888639124e-17,0.713,0.426
"689","LRIG1",26018,"Astro_FGFR3",0.877,0.248,2.58692839747303,0,0,0.883,0.766
"690","LRMP",4033,"Micro_C1QC",0.537,0.257,2.67672345104002,2.97448561405827e-121,1.49560111160464e-116,0.678,0.356
"691","LRP2",4036,"Oligo",0.651,0.356,3.79809880698856,0,0,0.736,0.472
"692","LRP5",4041,"Peri_MUSTN1",0.469,0.402,2.71566366860655,6.37306278143548e-10,3.20443969713357e-05,0.568,0.136
"693","LRRC63",220416,"Oligo",0.537,0.171,3.28623527651133,0,0,0.713,0.426
"694","LRRK1",79705,"Micro_C1QC",0.74,0.373,3.14608003688246,4.42688680769982e-283,2.22588295577955e-278,0.783,0.566
"695","LSP1",4046,"VLMC_CYP1B1",0.364,0.162,2.56287580466773,3.50170877068263e-10,1.76069418698693e-05,0.618,0.236
"696","LSR",51599,"Endo_CLDN5",0.614,0.335,3.21097984133155,4.87215767209199e-55,2.44976959910457e-50,0.719,0.438
"697","LST1",7940,"Micro_C1QC",0.432,0.008,4.88429260116341,0,0,0.713,0.426
"698","LTBP2",4053,"VLMC_CYP1B1",0.455,0.157,4.43903822183207,2.53093710185892e-09,0.000127258048418568,0.672,0.344
"699","LTC4S",4056,"Micro_C1QC",0.477,0.034,4.23185859792062,0,0,0.729,0.458
"700","LURAP1L-AS1",101929467,"Oligo",0.495,0.151,3.59515930035873,0,0,0.699,0.398
"701","LUZP2",338645,"OPC_MYT1",1,0.694,2.78199384273203,0,0,0.981,0.962
"702","LY86",9450,"Micro_C1QC",0.605,0.041,5.47918601486503,0,0,0.793,0.586
"703","LY86-AS1",285780,"Pyramidal",0.884,0.193,3.99931261196676,0,0,0.921,0.842
"704","LYN",4067,"Micro_C1QC",0.819,0.396,3.48266175097645,0,0,0.84,0.68
"705","LYPD6B",130576,"Inhibitory",0.52,0.137,2.84057384844456,0,0,0.715,0.43
"706","LYPD8",646627,"Pyramidal",0.549,0.048,3.1882948845015,0,0,0.761,0.522
"707","MAG",4099,"Oligo",0.848,0.108,5.24577378897606,0,0,0.913,0.826
"708","MAL",4118,"Oligo",0.783,0.1,3.86865180229349,0,0,0.871,0.742
"709","MAML3",55534,"Micro_C1QC",0.932,0.616,3.0070677517284,0,0,0.882,0.764
"710","MAP6D1",79929,"Oligo",0.424,0.126,2.8822251044232,1.66833102480945e-287,8.38853522584439e-283,0.665,0.33
"711","MB21D1",115004,"Micro_C1QC",0.352,0.274,2.57244088288256,2.1925006075997e-84,1.1024112305072e-79,0.561,0.122
"712","MBP",4155,"Oligo",1,0.545,4.04777849112791,0,0,0.997,0.994
"713","MCHR2",84539,"Pyramidal",0.758,0.193,3.76501204866329,0,0,0.841,0.682
"714","MCL1",4170,"Endo_CLDN5",0.357,0.129,2.64479041439343,2.86488260677862e-13,1.44049162351436e-08,0.628,0.256
"715","MCOLN3",55283,"VLMC_CYP1B1",0.364,0.082,3.83979896502684,0.00112918481023914,1,0.646,0.292
"716","MECOM",2122,"Endo_CLDN5",0.971,0.375,6.70383792753322,0,0,0.978,0.956
"717","MEGF11",84465,"OPC_MYT1",0.964,0.433,3.59801628107503,0,0,0.95,0.9
"718","MEI1",150365,"Peri_MUSTN1",0.438,0.471,2.61196062485143,3.44564217284343e-05,1,0.502,0.004
"719","MEIKIN",728637,"Astro_FGFR3",0.826,0.46,2.88563910068721,0,0,0.823,0.646
"720","MFGE8",4240,"Astro_FGFR3",0.67,0.075,2.69108603791124,0,0,0.807,0.614
"721","MFSD2A",84879,"Endo_CLDN5",0.671,0.086,5.11649629846713,9.7327564570002e-86,4.89372727414427e-81,0.818,0.636
"722","MGC27382",149047,"VLMC_CYP1B1",0.364,0.214,3.64491611103593,0.000529807097661366,1,0.574,0.148
"723","MGLL",11343,"Peri_MUSTN1",0.844,0.562,2.64025749552139,1.11383811683304e-16,5.60048943524819e-12,0.822,0.644
"724","MGST1",4257,"Astro_FGFR3",0.702,0.153,3.29099590134148,0,0,0.811,0.622
"725","MICALL2",79778,"Astro_FGFR3",0.801,0.337,2.68414608911062,0,0,0.83,0.66
"726","MILR1",284021,"Micro_C1QC",0.624,0.2,5.40483382545479,0,0,0.767,0.534
"727","MINOS1-NBL1",100532736,"VLMC_CYP1B1",0.455,0.085,2.91025802884887,1.68965324604555e-06,0.0849574548644162,0.69,0.38
"728","MIR137HG",400765,"Pyramidal",0.99,0.204,2.923297991915,0,0,0.973,0.946
"729","MIR143HG",728264,"Peri_MUSTN1",0.906,0.063,6.47060421058357,8.02983307283078e-170,4.03748036735004e-165,0.95,0.9
"730","MIR31HG",554202,"Micro_C1QC",0.507,0.257,3.03023689433363,1.32677611736178e-155,6.67116299570679e-151,0.665,0.33
"731","MIR4435-1HG",541471,"VLMC_CYP1B1",0.455,0.291,2.73474327289613,0.000509859401394493,1,0.624,0.248
"732","MIR4500HG",642345,"Pyramidal",0.881,0.213,2.67960582045844,0,0,0.899,0.798
"733","MIR646HG",284757,"Micro_C1QC",0.4,0.227,2.84057005884775,2.65207594508166e-89,1.33349030594651e-84,0.611,0.222
"734","MIS18BP1",55320,"Micro_C1QC",0.613,0.304,2.88686335967378,3.48059179622669e-177,1.75007636106074e-172,0.715,0.43
"735","MKNK1",8569,"Micro_C1QC",0.813,0.511,2.88090354065113,1.53320687704415e-314,7.70911749846567e-310,0.807,0.614
"736","MLC1",23209,"Astro_FGFR3",0.636,0.068,3.86158667483158,0,0,0.802,0.604
"737","MLIP",90523,"Pyramidal",0.978,0.233,4.10354817756595,0,0,0.978,0.956
"738","MMD2",221938,"Astro_FGFR3",0.988,0.554,2.85391649321651,0,0,0.95,0.9
"739","MMP2",4313,"VLMC_CYP1B1",0.364,0.052,2.83114470444538,0.00162574321210307,1,0.66,0.32
"740","MMP28",79148,"Astro_FGFR3",0.562,0.238,2.55952130410555,7.13922964424855e-262,3.58967605742461e-257,0.701,0.402
"741","MMRN2",79812,"Endo_CLDN5",0.4,0.104,3.71083861287453,1.80006839760069e-28,9.05092390997602e-24,0.662,0.324
"742","MOBP",4336,"Oligo",0.989,0.238,5.09934539773311,0,0,0.988,0.976
"743","MOG",4340,"Oligo",0.959,0.094,5.52602900476074,0,0,0.975,0.95
"744","MRC1",4360,"Micro_C1QC",0.599,0.22,4.32081782489672,0,0,0.74,0.48
"745","MROH7-TTC4",100527960,"Astro_FGFR3",0.63,0.126,3.27473781914564,0,0,0.777,0.554
"746","MROH9",80133,"OPC_MYT1",0.634,0.166,4.48563477646963,0,0,0.777,0.554
"747","MRVI1",10335,"Astro_FGFR3",0.872,0.177,3.70944808770312,0,0,0.91,0.82
"748","MS4A7",58475,"Micro_C1QC",0.609,0.025,6.03621069075783,0,0,0.799,0.598
"749","MSI2",124540,"Astro_FGFR3",0.998,0.805,2.83514456190971,0,0,0.983,0.966
