"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"742","LOC105377885",105377885,NA,"PAX6",0.741,0.473,2.62164894039443,0.708,0.416,5.78409385525927e-114,2.90830023136291e-109
"743","LOC105377914",105377914,NA,"L5 ET",0.583,0.247,2.54818076235122,0.721,0.442,4.69954227073873e-19,2.36297684915014e-14
"744","LOC105377918",105377918,NA,"Microglia",0.525,0.051,4.95292167616051,0.749,0.498,0,0
"745","LOC105377979",105377979,NA,"VLMC",0.818,0.301,4.84880773385447,0.865,0.73,7.95500615689284e-72,3.99985664574729e-67
"746","LOC105378111",105378111,NA,"OPC",0.382,0.089,3.31919171580817,0.659,0.318,1.53771788279377e-234,7.73179928647537e-230
"747","LOC105378119",105378119,NA,"Microglia",0.424,0.113,3.31543330698122,0.67,0.34,1.55138718333604e-204,7.80052989653196e-200
"748","LOC105378145",105378145,NA,"VLMC",0.636,0.155,5.60380180273802,0.789,0.578,1.18657913959579e-61,5.96623857180158e-57
"749","LOC105378146",105378146,NA,"VLMC",0.545,0.051,4.55000049260429,0.757,0.514,2.32364335069512e-09,0.000116835111316301
"750","LOC105378305",105378305,NA,"Microglia",0.793,0.438,5.77160850281331,0.834,0.668,0,0
"751","LOC105378400",105378400,NA,"L5/6 NP",0.584,0.045,3.80274070336571,0.78,0.56,5.16234894303595e-295,2.5956806720479e-290
"752","LOC105378484",105378484,NA,"L5/6 IT Car3",0.359,0.022,3.23236968639948,0.672,0.344,1.82832336951063e-154,9.19299273423639e-150
"753","LOC105378486",105378486,NA,"L5/6 IT Car3",0.808,0.546,3.19649103971601,0.765,0.53,2.00403669897279e-215,1.00764969261051e-210
"754","LOC105378657",105378657,NA,"L5 ET",0.958,0.287,3.39739705064438,0.964,0.928,9.92743883225874e-44,4.99161551924802e-39
"755","LOC105378658",105378658,NA,"L5 ET",0.583,0.061,2.76032458216932,0.777,0.554,1.92004073754609e-25,9.65415683245551e-21
"756","LOC105378763",105378763,NA,"Astrocyte",0.736,0.321,2.56153502478788,0.782,0.564,0,0
"757","LOC105378962",105378962,NA,"L6b",0.516,0.162,2.64492909416987,0.704,0.408,6.90522974634815e-222,3.47201856876131e-217
"758","LOC105378963",105378963,NA,"L6b",0.448,0.052,2.70956139007501,0.705,0.41,6.1417772489828e-153,3.08814701856104e-148
"759","LOC105378964",105378964,NA,"L6b",0.577,0.171,2.80126111986407,0.739,0.478,6.5444596355107e-246,3.29061974933114e-241
"760","LOC105379037",105379037,NA,"IT",0.505,0.149,3.1506121765422,0.705,0.41,0,0
"761","LOC105379054",105379054,NA,"OPC",0.726,0.046,4.28483189077677,0.85,0.7,0,0
"762","LOC105379069",105379069,NA,"VIP",0.569,0.149,2.58767825228369,0.736,0.472,0,0
