"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MAD2L2",0.278631346891996,0.152823631215949,0.601918921596978,0.253894047408389,0.799577413628048,0.990512677498131
"DRAXIN",0.112965130523495,1.25469660586122,1.85992392662615,0.674595658402657,0.499932692110381,0.990512677498131
"AGTRAP",0.0294999146924006,0.82414886697373,3.02748040164336,0.272222692680808,0.785450794245677,0.990512677498131
"C1orf167",0.0128306954715456,0.800039882478172,3.02847117010438,0.264172857372982,0.791646725026343,0.990512677498131
"MTHFR",1.32142875439403,-0.277320302863705,0.325058500625921,-0.853139672796458,0.393581853078536,0.990512677498131
"CLCN6",0.851924918899693,0.0704644640845867,0.365096229213219,0.193002442770875,0.846957055004393,0.990512677498131
"NPPA",0.0219321714050363,0.590252889017656,3.02777182117612,0.194946291820754,0.845434993723482,0.990512677498131
"NPPB",0,NA,NA,NA,NA,NA
"KIAA2013",0.838127210995783,-0.221598297072724,0.37021434166922,-0.598567565139652,0.549461290606104,0.990512677498131
"PLOD1",0.952919897227186,0.502000366796065,0.494791732517417,1.01456902733999,0.310311309722375,0.990512677498131
"MFN2",2.00834851885641,-0.282879321790101,0.244949237385382,-1.15484875482606,0.248152367674923,0.990512677498131
"MIIP",0.746828978247937,0.0168260778188111,0.47427278284005,0.0354776374011025,0.971698877916451,0.997251431156944
"TNFRSF8",0.099823130791266,1.13022348267142,1.69212396035611,0.667931847282373,0.504177097254686,0.990512677498131
"TNFRSF1B",0.043796778562397,0.633301481146209,3.02814943603949,0.209138120334809,0.834340416909108,0.990512677498131
"VPS13D",10.1823009837041,0.0620689108642506,0.124328475697887,0.499233265073364,0.617615062463775,0.990512677498131
"DHRS3",0.194343929898429,0.933248134128722,1.21234665033107,0.769786540733932,0.441426524888358,0.990512677498131
"AADACL4",0,NA,NA,NA,NA,NA
"AADACL3",0,NA,NA,NA,NA,NA
"C1orf158",0,NA,NA,NA,NA,NA
"HNRNPCL1",0.0347434546325563,0.866235909740369,3.02790431964153,0.286084307262034,0.774813550476559,0.990512677498131
"PRAMEF6",0.0543025874291868,1.08007771300029,3.02748426266156,0.35675749873288,0.721273356327179,0.990512677498131
"PRAMEF26",0.0157996451410976,0.714388980199471,3.0284591802011,0.235891896734112,0.813516556309033,0.990512677498131
"PRAMEF25",0.0244861408614865,0.724627688160253,3.02850228623301,0.239269321820978,0.810896752228667,0.990512677498131
"PRAMEF14",0,NA,NA,NA,NA,NA
"PRAMEF20",0,NA,NA,NA,NA,NA
"LRRC38",0.155512578243853,-0.00756423476650245,1.35729112885766,-0.00557303779983354,0.995553382200486,0.999856516087945
"PDPN",0.0644299960696227,0.582618428479763,3.0270334921188,0.192471748329403,0.84737269573463,0.990512677498131
"PRDM2",5.40268074094571,-0.129174070119636,0.149982319236543,-0.861261985927222,0.389093767351883,0.990512677498131
"KAZN",31.4088299493614,-0.0890462582687033,0.0965759375637846,-0.922033588438029,0.356511055839236,0.990512677498131
"TMEM51",0.245775217027267,0.277336924958739,0.697849642086743,0.397416446513368,0.691060389453866,0.990512677498131
"FHAD1",0.397946901233433,-0.162610307058093,0.540294319127661,-0.300966161037261,0.763440298435538,0.990512677498131
"EFHD2",2.45739986107279,-0.11222324262916,0.220320490203474,-0.509363620812198,0.610497371044089,0.990512677498131
"CTRC",0.0150591770049932,0.827873023333026,3.02878457774538,0.27333506298731,0.784595664787662,0.990512677498131
"CELA2A",0.00805692994737167,0.674823432441475,3.02918083783788,0.222774231241718,0.823711224530878,0.990512677498131
"CELA2B",0.048297889863754,0.580250329544647,3.02767773613568,0.19164864299106,0.848017437096095,0.990512677498131
"CASP9",0.305470656191806,0.524250615911524,0.591516721568791,0.886281987973447,0.375465592608921,0.990512677498131
"DNAJC16",2.07419471390475,-0.377778400899245,0.237619351989935,-1.58984694527425,0.111869309059888,0.990512677498131
"AGMAT",0.204467789937465,1.08845078091046,1.06919488176345,1.01800971878509,0.308673337427448,0.990512677498131
"DDI2",2.39626330183333,-0.00657560407792508,0.237461160223147,-0.0276912825311973,0.977908376571323,0.997737764206358
"PLEKHM2",3.04402963630522,0.0485278545836317,0.214940486148546,0.225773447586296,0.82137762964057,0.990512677498131
"SLC25A34",0.249011784295733,0.553878464202318,0.750481144494464,0.738031152768561,0.460495518556437,0.990512677498131
"TMEM82",0.00462227325093367,0.943308142241248,3.02866595368522,0.311459948593357,0.755450986083136,0.990512677498131
"FBLIM1",0.368845195073069,0.111495256647706,0.586948779364993,0.189957387369185,0.849342522431978,0.990512677498131
"UQCRHL",2.15394056087812,0.271696775529048,0.2779867713688,0.977373038980307,0.3283845055657,0.990512677498131
"SPEN",3.28167568301113,-0.319932116033789,0.198287715909506,-1.61347421128094,0.106641521625227,0.990512677498131
"ZBTB17",0.646371287637489,-0.0562116176682409,0.393063415174903,-0.143009029836135,0.886283049720624,0.990512677498131
"C1orf64",0,NA,NA,NA,NA,NA
"HSPB7",0,NA,NA,NA,NA,NA
"CLCNKA",0,NA,NA,NA,NA,NA
"CLCNKB",0,NA,NA,NA,NA,NA
"FAM131C",0.92791843314857,0.493839924283683,0.424622001956483,1.16301068246175,0.244825168290917,0.990512677498131
"EPHA2",0,NA,NA,NA,NA,NA
"ARHGEF19",0.0218988779400311,0.524683271908951,3.02897549126355,0.173221365911442,0.86247742993118,0.990512677498131
"RSG1",0.0516070051931776,1.34010447879214,3.02766237061413,0.442620185063869,0.658040482174002,0.990512677498131
"FBXO42",4.48778240449886,0.0210929438154491,0.170428359460995,0.123764283609598,0.901501911885326,0.990512677498131
"SZRD1",0.890012486168777,0.437695974986228,0.372294474186348,1.17567142499983,0.239726201556068,0.990512677498131
"SPATA21",0.346651628358376,0.193433572594323,0.781000547581316,0.247674055022584,0.804386607611934,0.990512677498131
"NECAP2",0.769546597175228,0.133568434710102,0.3880179407024,0.344232626121135,0.730671347823056,0.990512677498131
"NBPF1",3.29849130829988,0.0338985931757702,0.185915257124544,0.182333573371343,0.855320952533679,0.990512677498131
"CROCC",3.88877949712835,0.329508257517665,0.187294285157498,1.75930759040821,0.0785252780602751,0.990512677498131
"MFAP2",0,NA,NA,NA,NA,NA
"ATP13A2",4.90191526640963,0.112339143907995,0.193299892251168,0.581165062223753,0.561129212137891,0.990512677498131
"SDHB",2.58862586323217,0.00411761049963025,0.233770741010621,0.0176138830797614,0.985946881299345,0.999051230722816
"PADI2",0.24110467911206,-0.105634849244233,0.656206337026721,-0.160978099850218,0.872110649454829,0.990512677498131
"PADI1",0,NA,NA,NA,NA,NA
"PADI3",0,NA,NA,NA,NA,NA
"PADI4",0.08348468902342,0.715247066923624,2.47681704140711,0.288776706137843,0.772752258841164,0.990512677498131
"AC004824.2",0,NA,NA,NA,NA,NA
"PADI6",0,NA,NA,NA,NA,NA
"RCC2",0.56227267035067,-0.0164026158467509,0.517690866029934,-0.0316841901664968,0.974723902976704,0.997388377892855
"ARHGEF10L",1.71498615221678,-0.142999472857075,0.294917940449128,-0.484878853552626,0.627762283474263,0.990512677498131
"ACTL8",0,NA,NA,NA,NA,NA
"IGSF21",1.75907518798699,0.308813825854704,0.284152081858558,1.08679065039693,0.277129340675299,0.990512677498131
"KLHDC7A",0,NA,NA,NA,NA,NA
"PAX7",0.0491000160232307,0.764835485891047,3.02820810501073,0.252570318607062,0.80060026880861,0.990512677498131
"RP13-279N23.2",0.00427760569927278,0.946163580865631,3.02868882761369,0.312400393278802,0.754736251521468,0.990512677498131
"IFFO2",0.658302249959242,-0.309489686846578,0.535658273748234,-0.577774491712682,0.563416379100774,0.990512677498131
"UBR4",3.66693135677831,-0.274291116123717,0.168274452822926,-1.63002233269688,0.103096777058157,0.990512677498131
"EMC1",1.00608863747248,0.445445741851562,0.377481694672964,1.18004594166475,0.237981943200155,0.990512677498131
"MRTO4",0.467315446176272,0.322398387049119,0.449809508246896,0.716744268714207,0.473531905281449,0.990512677498131
"AKR7A3",0.0161348415289235,0.987555891880071,3.02802336979255,0.326138794611658,0.744319346424255,0.990512677498131
"AKR7A2",0.698882480095944,-0.143227787516731,0.448822947232319,-0.319118682322172,0.749636517290273,0.990512677498131
"PQLC2",0.452151076855715,0.289327960940211,0.544430746514867,0.531432074313074,0.595119399964069,0.990512677498131
"CAPZB",6.96893046181419,0.0663334777821747,0.140257570104146,0.472940446158592,0.636255667915696,0.990512677498131
"MINOS1-NBL1",0.0137983053116784,0.834700507900578,3.02815667970033,0.275646406771522,0.782819662487105,0.990512677498131
"NBL1",3.61034439943351,0.258876510270317,0.226988771090644,1.1404815710771,0.254085726181669,0.990512677498131
"HTR6",0.0244861408614865,0.724627688160253,3.02850228623301,0.239269321820978,0.810896752228667,0.990512677498131
"TMCO4",0.342472496828913,0.386984999453407,0.591125323553604,0.654658130913782,0.512687887952502,0.990512677498131
"OTUD3",1.4685958842482,0.0458521505514343,0.283775868566118,0.161578751509489,0.871637591251649,0.990512677498131
"PLA2G2A",0,NA,NA,NA,NA,NA
"PLA2G5",0.0118924347383387,1.04603645057192,3.02833534656388,0.345416319813726,0.729781409897499,0.990512677498131
"PLA2G2D",0,NA,NA,NA,NA,NA
"PLA2G2F",0,NA,NA,NA,NA,NA
"PLA2G2C",0,NA,NA,NA,NA,NA
"UBXN10",0.228148775042035,1.12986317094814,1.47943687777658,0.763711644559106,0.445039099932409,0.990512677498131
"VWA5B1",0.079831541306014,0.788150050120608,3.02820678268242,0.260269561057669,0.794655850451471,0.990512677498131
"CAMK2N1",8.16486984263202,-0.041249365816961,0.170615878309205,-0.241767449933384,0.808960361963517,0.990512677498131
"MUL1",0.517933309823173,0.208774695100237,0.452398490202428,0.461484066860656,0.644451350035901,0.990512677498131
"FAM43B",1.04989167244653,0.227788132343204,0.406453255138184,0.560428854889504,0.575186954521623,0.990512677498131
"CDA",0.0741431430216405,0.50615435378752,3.02589328443606,0.16727435709348,0.867154179924202,0.990512677498131
"PINK1",2.81485608213208,0.0830156440610027,0.252316502007546,0.329013930521754,0.742145158667909,0.990512677498131
"DDOST",1.2479118921049,-0.335104601299744,0.325029289405679,-1.03099816608063,0.302541679805625,0.990512677498131
"KIF17",0.757378575370009,0.411820712720188,0.370968497761688,1.11012313769225,0.266945968070163,0.990512677498131
