"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"DPH6",0.775668141949574,-0.386867784292575,0.875,0.958,1
"ITFG1",0.775682456667014,-0.427503328566985,0.958,0.958,1
"SLC35E2",0.775742518670383,-0.207639364778245,0.625,0.75,1
"CHCHD5",0.775745981285517,-0.247836163904581,0.292,0.458,1
"AK5",0.775784168509313,-0.380628184961225,0.917,1,1
"BTBD16",0.7758811061171,-0.105360515657826,0.125,0.25,1
"CLMN",0.775922920054553,-0.376809852347789,0.583,0.708,1
"WNT2B",0.775935826419247,-0.232931557680373,0.542,0.667,1
"IKZF2",0.775946871539642,-0.262364264467491,0.458,0.583,1
"FOXG1",0.775980848804417,-0.323128821447529,0.708,0.917,1
"EHD3",0.776096861328078,-0.319430770766361,0.708,0.917,1
"C14orf169",0.776112065202125,-0.125163142954006,0.167,0.333,1
"ZNF608",0.776119473825199,-0.388188930916295,0.792,0.958,1
"METTL6",0.776229781248069,-0.407895242961456,0.708,0.875,1
"MYH14",0.776255583330579,-0.343473432080197,0.625,0.75,1
"GPS1",0.776337899748995,-0.397496938458987,0.75,0.917,1
"NPFFR2",0.77643975488009,-0.138150338480817,0.125,0.167,1
"CENPF",0.776501701378499,-0.0377403279828471,0.083,0.125,1
"ZEB1",0.776583163404803,-0.373099823606132,0.833,0.958,1
"DPYD",0.776661009847117,-0.419853845560264,0.917,0.917,1
"ASPSCR1",0.776716484479421,-0.370373788296894,0.583,0.667,1
"MB21D1",0.776728210704821,-0.138150338480817,0.125,0.25,1
"TOMM70A",0.77674196934014,-0.376168738619733,0.833,0.917,1
"ICAM1",0.776868730571302,-0.0377403279828471,0.083,0.125,1
"XKR6",0.776946222613084,-0.471493572406889,0.958,0.958,1
"NDUFB10",0.776998517496515,-0.447474516185707,0.667,0.833,1
"ZNF763",0.777108558888895,-0.0714589639821449,0.125,0.125,1
"DOLPP1",0.777129541861541,-0.228841572428848,0.292,0.458,1
"RUFY1",0.777184805703955,-0.387765531008763,0.625,0.833,1
"ARPC5L",0.77719233902579,-0.49578774640145,0.5,0.667,1
"CAPN12",0.777231679540534,-0.105360515657826,0.125,0.208,1
"MYO9A",0.777314277192694,-0.434931846599037,1,1,1
"C5orf22",0.77733627352675,-0.38641691313747,0.583,0.667,1
"PXDC1",0.777354165371377,-0.109199291964992,0.042,0.167,1
