"","gene","entrez_id","ensembl_gene_id","class","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"92","COL25A1",84570,"ENSG00000188517","GABAergic",0.742,0.627,2.3393330548332,0.652,0.304,0,0
"93","COL4A5",1287,"ENSG00000188153","Non-neuronal",0.635,0.393,5.22186672237834,0.725,0.45,0,0
"94","COL5A3",50509,"ENSG00000080573","Non-neuronal",0.47,0.495,2.96636227463126,0.544,0.0880000000000001,0,0
"95","COL9A2",1298,"ENSG00000049089","Non-neuronal",0.493,0.048,4.84601351048781,0.733,0.466,0,0
"96","COLEC12",81035,"ENSG00000158270","Non-neuronal",0.372,0.31,3.15065536214717,0.565,0.13,0,0
"97","CPM",1368,"ENSG00000135678","Non-neuronal",0.532,0.337,3.92626377124462,0.663,0.326,0,0
"98","CPNE2",221184,"ENSG00000140848","Non-neuronal",0.374,0.246,2.04116612946883,0.587,0.174,4.63178323401803e-291,2.32890692789661e-286
"99","CPNE4",131034,"ENSG00000196353","Glutamatergic",0.936,0.566,2.80499211712325,0.887,0.774,0,0
"100","CPQ",10404,"ENSG00000104324","Non-neuronal",0.596,0.497,2.09123227722545,0.622,0.244,0,0
"101","CREB3L2",64764,"ENSG00000182158","Non-neuronal",0.434,0.354,2.17498137468322,0.574,0.148,1.94998156517452e-253,9.80470230785403e-249
"102","CREB5",9586,"ENSG00000146592","Non-neuronal",0.801,0.722,2.51096042514401,0.687,0.374,0,0
"103","CRYAB",1410,"ENSG00000109846","Non-neuronal",0.491,0.246,3.32642768454253,0.664,0.328,0,0
"104","CSF1R",1436,"ENSG00000182578","Non-neuronal",0.38,0.238,4.0305044806115,0.594,0.188,0,0
"105","CSRP1",1465,"ENSG00000159176","Non-neuronal",0.43,0.117,3.60558790867683,0.674,0.348,0,0
"106","CST3",1471,"ENSG00000101439","Non-neuronal",0.499,0.256,3.2386802299113,0.669,0.338,0,0
"107","CTNNA3",29119,"ENSG00000183230","Non-neuronal",0.952,0.98,2.75090645424325,0.589,0.178,0,0
"108","CUEDC1",404093,"ENSG00000180891","Non-neuronal",0.616,0.452,2.68586584799117,0.662,0.324,0,0
"109","CXCL14",9547,"ENSG00000145824","GABAergic",0.598,0.197,4.81897442705185,0.748,0.496,0,0
"110","CYP27A1",1593,"ENSG00000135929","Non-neuronal",0.413,0.202,3.00260907866861,0.632,0.264,0,0
"111","DAAM2",23500,"ENSG00000146122","Non-neuronal",0.597,0.164,4.26790931385889,0.756,0.512,0,0
"112","DDR1",780,"ENSG00000229767, ENSG00000223680, ENSG00000234078, ENSG00000137332, ENSG00000215522, ENSG00000230456, ENSG00000204580","Non-neuronal",0.395,0.15,2.32695482564027,0.639,0.278,0,0
"113","DFNB31",25861,"ENSG00000095397","Non-neuronal",0.44,0.261,2.18088952096573,0.614,0.228,0,0
"114","DLGAP1.AS4",NA,"NA","Glutamatergic",0.87,0.09,3.0556302047619,0.921,0.842,0,0
"115","DLX1",1745,"ENSG00000144355","GABAergic",0.564,0.012,3.81799044725498,0.779,0.558,0,0
"116","DLX6.AS1",NA,"NA","GABAergic",0.837,0.055,5.21970520811654,0.913,0.826,0,0
"117","DNAH11",8701,"ENSG00000105877","Non-neuronal",0.561,0.422,2.16436334622256,0.631,0.262,3.62329287202956e-311,1.82182788898518e-306
"118","DNAJC5G",285126,"ENSG00000163793","Glutamatergic",0.434,0.045,2.08365818872012,0.701,0.402,0,0
"119","DOCK1",1793,"ENSG00000150760","Non-neuronal",0.843,0.514,4.36859775430045,0.849,0.698,0,0
"120","DOCK10",55619,"ENSG00000135905","Non-neuronal",0.824,0.594,2.03960525686872,0.772,0.544,0,0
"121","DOCK2",1794,"ENSG00000134516","Non-neuronal",0.486,0.443,3.3162155854811,0.57,0.14,0,0
