"","gene","X","entrez_id","ensembl_gene_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj","hMC_overlap","used"
"127","C1QB",127,713,"ENSG00000173369","Microglia",0.485,0.011,5.46098807762301,0.74,0.48,0,0,TRUE,TRUE
"128","C1QC",128,714,"ENSG00000159189","Microglia",0.557,0.005,4.1432679612468,0.777,0.554,0,0,TRUE,TRUE
"129","C1QL1",129,10882,"ENSG00000131094","OPC",0.529,0.085,3.22500997920984,0.737,0.474,0,0,FALSE,TRUE
"130","C1QTNF1",130,114897,"ENSG00000173918","Pericyte",0.625,0.136,4.0688693452078,0.782,0.564,1.21554170891527e-66,6.11186526659689e-62,TRUE,TRUE
"131","C1S",131,716,"ENSG00000182326","VLMC",0.455,0.143,3.07075848339939,0.671,0.342,0.00509087294446375,1,TRUE,TRUE
"132","C21orf91",132,54149,"ENSG00000154642","Oligodendrocyte",0.368,0.059,3.51180947765744,0.662,0.324,0,0,TRUE,TRUE
"133","C22orf31",133,25770,"ENSG00000100249","VLMC",0.545,0.113,3.72492933606066,0.737,0.474,1.03388640423918e-11,5.19848422915503e-07,FALSE,FALSE
"134","C22orf34",134,348645,NA,"Endothelial",0.371,0.261,3.65315717139326,0.592,0.184,3.07144004798861e-40,1.54435077052915e-35,TRUE,TRUE
"135","C2CD2",135,25966,"ENSG00000157617","Pericyte",0.625,0.462,2.65100291003239,0.67,0.34,3.02970112767389e-09,0.000152336402400571,FALSE,TRUE
"136","C2orf82",136,389084,"ENSG00000182600","Astrocyte",0.413,0.156,2.7341395933568,0.653,0.306,0,0,FALSE,FALSE
"137","C3",137,718,"ENSG00000125730","Microglia",0.927,0.277,6.19499066120994,0.95,0.9,0,0,TRUE,TRUE
"138","C8orf4",138,56892,"ENSG00000176907","PVALB",0.676,0.058,2.68071783554263,0.815,0.63,0,0,FALSE,FALSE
"139","CA2",139,760,"ENSG00000104267","Oligodendrocyte",0.777,0.194,3.43115400526025,0.848,0.696,0,0,TRUE,TRUE
"140","CA4",140,762,"ENSG00000167434","Pericyte",0.531,0.228,3.39495744358877,0.688,0.376,1.4405240077627e-12,7.24309876343164e-08,FALSE,FALSE
"141","CABLES1",141,91768,"ENSG00000134508","Astrocyte",0.84,0.598,2.73391196259538,0.81,0.62,0,0,TRUE,TRUE
"142","CACHD1",142,57685,"ENSG00000158966","Astrocyte",0.918,0.546,2.61361415170303,0.879,0.758,0,0,TRUE,TRUE
"143","CACNG4",143,27092,"ENSG00000075461","OPC",0.765,0.292,3.01494388991695,0.813,0.626,0,0,TRUE,TRUE
"144","CACNG5",144,27091,"ENSG00000075429","OPC",0.383,0.108,3.45001931965242,0.653,0.306,6.86750911724342e-278,3.45305225924116e-273,FALSE,FALSE
"145","CALB2",145,794,"ENSG00000172137, ENSG00000282830","VIP",0.731,0.034,4.49725073599341,0.859,0.718,0,0,TRUE,TRUE
"146","CALCRL",146,10203,"ENSG00000064989","OPC",0.651,0.198,2.720051423638,0.767,0.534,1.05195317895294e-268,5.28932577909329e-264,TRUE,TRUE
"147","CALD1",147,800,"ENSG00000122786","Pericyte",0.906,0.575,3.23388564784594,0.9,0.8,3.21121771740048e-36,1.61463238048614e-31,TRUE,TRUE
"148","CAPN3",148,825,"ENSG00000092529","Oligodendrocyte",0.806,0.265,3.7746733742615,0.859,0.718,0,0,TRUE,TRUE
"149","CAPZB",149,832,"ENSG00000077549","Microglia",0.941,0.858,2.96028286853088,0.855,0.71,0,0,TRUE,FALSE
"150","CARD11",150,84433,"ENSG00000198286","Microglia",0.66,0.489,4.16947178622817,0.708,0.416,0,0,TRUE,TRUE
"151","CARD8",151,22900,"ENSG00000105483","Microglia",0.475,0.296,3.09950990770193,0.636,0.272,1.31191474807056e-217,6.59643854477356e-213,TRUE,TRUE
"152","CARNS1",152,57571,"ENSG00000172508","Oligodendrocyte",0.924,0.085,5.52712808594906,0.956,0.912,0,0,TRUE,TRUE
"153","CASC15",153,401237,NA,"Pericyte",0.969,0.962,2.71397313192555,0.8,0.6,5.23802331841473e-19,2.63373050473211e-14,FALSE,FALSE
"154","CASC17",154,101928165,NA,"Astrocyte",0.442,0.258,3.02144070211946,0.63,0.26,0,0,FALSE,FALSE
"155","CASP10",155,843,"ENSG00000003400","Endothelial",0.429,0.175,3.41780518440863,0.658,0.316,4.99219744306681e-59,2.51012679634842e-54,TRUE,TRUE
"156","CASS4",156,57091,"ENSG00000087589","Microglia",0.364,0.254,3.65678706149713,0.589,0.178,3.75170306361947e-304,1.88639381741851e-299,TRUE,TRUE
