"","gene","entrez_id","ensembl_gene_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"1684","SMAD6",4091,"ENSG00000137834","Endothelial",0.7,0.114,5.24899581065351,0.83,0.66,2.59668904656471e-177,1.3056412195032e-172
"1685","SMAP2",64744,"ENSG00000084070","Microglia",0.789,0.799,2.1477982357764,0.667,0.334,7.94714440691298e-145,3.99590367923992e-140
"1686","SMC1B",27127,"ENSG00000077935","Pericyte",0.281,0.359,2.01162308586415,0.478,0.044,0.031639762808636,1
"1687","SMC4",10051,"ENSG00000113810","Oligodendrocyte",0.439,0.181,2.68622812162082,0.653,0.306,4.94065645841247e-324,2.48421147385437e-319
"1688","SMOC1",64093,"ENSG00000198732","OPC",0.875,0.211,3.49248567937488,0.906,0.812,0,0
"1689","SMOC2",64094,"ENSG00000112562","Pericyte",0.656,0.17,4.64294749606838,0.79,0.58,6.03262354645028e-45,3.03326344539067e-40
"1690","SMOX",54498,"ENSG00000088826","Astrocyte",0.502,0.162,2.60529073399861,0.693,0.386,5.30060382241997e-284,2.66519660795099e-279
"1691","SMPDL3B",27293,"ENSG00000130768","L6 CT",0.413,0.072,2.13503709471094,0.68,0.36,3.50394882301748e-214,1.76182050770142e-209
"1692","SMYD1",150572,"ENSG00000115593","L5/6 IT Car3",0.848,0.08,4.18349221075395,0.915,0.83,0,0
"1693","SNRK",54861,"ENSG00000163788","Pericyte",0.625,0.408,2.67942899856436,0.687,0.374,8.95006187381728e-10,4.50018061077407e-05
"1694","SNRNP40",9410,"ENSG00000060688","Pericyte",0.25,0.584,2.02238688409255,0.345,0.31,6.40539630874643e-05,1
"1695","SNTA1",6640,"ENSG00000101400","Astrocyte",0.836,0.565,2.37458332508512,0.793,0.586,0,0
"1696","SNUPN",10073,"ENSG00000169371","VLMC",0.455,0.587,2.26360000817968,0.428,0.144,NA,NA
