"","gene","entrez_id","cluster","adapted_cluster_name","pct.1","pct.2","avg_logFC","MAST_p_val","MAST_p_val_adj","roc_myAUC","roc_power"
"733","MECOM",2122,"Endo_CLDN5","Endothelial",0.971,0.375,6.70383792753322,0,0,0.978,0.956
"734","MEGF11",84465,"OPC_MYT1","OPC",0.964,0.433,3.59801628107503,0,0,0.95,0.9
"735","MEI1",150365,"Peri_MUSTN1","Peri_MUSTN1",0.438,0.471,2.61196062485143,3.44564217284343e-05,1,0.502,0.004
"736","MEIKIN",728637,"Astro_FGFR3","Astrocyte",0.826,0.46,2.88563910068721,0,0,0.823,0.646
"737","MFGE8",4240,"Astro_FGFR3","Astrocyte",0.67,0.075,2.69108603791124,0,0,0.807,0.614
"738","MFSD2A",84879,"Endo_CLDN5","Endothelial",0.671,0.086,5.11649629846713,9.7327564570002e-86,4.89372727414427e-81,0.818,0.636
"739","MGC27382",149047,"VLMC_CYP1B1","VLMC_CYP1B1",0.364,0.214,3.64491611103593,0.000529807097661366,1,0.574,0.148
"740","MGLL",11343,"Peri_MUSTN1","Peri_MUSTN1",0.844,0.562,2.64025749552139,1.11383811683304e-16,5.60048943524819e-12,0.822,0.644
"741","MGST1",4257,"Astro_FGFR3","Astrocyte",0.702,0.153,3.29099590134148,0,0,0.811,0.622
"742","MICALL2",79778,"Astro_FGFR3","Astrocyte",0.801,0.337,2.68414608911062,0,0,0.83,0.66
"743","MILR1",284021,"Micro_C1QC","Microglia",0.624,0.2,5.40483382545479,0,0,0.767,0.534
"744","MINOS1-NBL1",100532736,"VLMC_CYP1B1","VLMC_CYP1B1",0.455,0.085,2.91025802884887,1.68965324604555e-06,0.0849574548644162,0.69,0.38
"745","MIR137HG",400765,"Pyramidal","Pyramidal",0.99,0.204,2.923297991915,0,0,0.973,0.946
"746","MIR143HG",728264,"Peri_MUSTN1","Peri_MUSTN1",0.906,0.063,6.47060421058357,8.02983307283078e-170,4.03748036735004e-165,0.95,0.9
"747","MIR31HG",554202,"Micro_C1QC","Microglia",0.507,0.257,3.03023689433363,1.32677611736178e-155,6.67116299570679e-151,0.665,0.33
"748","MIR4435-1HG",541471,"VLMC_CYP1B1","VLMC_CYP1B1",0.455,0.291,2.73474327289613,0.000509859401394493,1,0.624,0.248
"749","MIR4500HG",642345,"Pyramidal","Pyramidal",0.881,0.213,2.67960582045844,0,0,0.899,0.798
"750","MIR646HG",284757,"Micro_C1QC","Microglia",0.4,0.227,2.84057005884775,2.65207594508166e-89,1.33349030594651e-84,0.611,0.222
"751","MIS18BP1",55320,"Micro_C1QC","Microglia",0.613,0.304,2.88686335967378,3.48059179622669e-177,1.75007636106074e-172,0.715,0.43
