"","subclass","term","estimate","std.error","statistic","p.value","dataset","mapping","filtering","class"
"135","IT","(Intercept)",-0.307012300170129,0.43685807783124,-0.702773545345152,0.496800617696668,"Zhou","CgG","Filtered","Glutamatergic"
"136","IT","scale(age_death)",-0.124274420535956,0.289484902474925,-0.429294997678577,0.675996054895253,"Zhou","CgG","Filtered","Glutamatergic"
"137","IT","factor(msex)1",0.417010160962666,0.598217329849098,0.697088065081394,0.50021496750414,"Zhou","CgG","Filtered","Glutamatergic"
"138","IT","scale(age_death)",-0.0243418760794782,0.29183271457665,-0.083410374723718,0.93502380365402,"Zhou","CgG","Unfiltered","Glutamatergic"
"139","IT","LOADAD",0.0841478568158195,0.574943010568128,0.146358604712264,0.886286081113366,"Zhou","CgG","Unfiltered","Glutamatergic"
"140","IT","LOADAD",-0.414773814677055,0.455033089434418,-0.911524511750555,0.372875571586657,"Mathys","CgG","Filtered","Glutamatergic"
"141","IT","factor(msex)1",0.308700769229629,0.425575140703978,0.725373123813063,0.47662566336047,"Mathys","CgG","Unfiltered","Glutamatergic"
"142","IT","LOADAD",0.285395120315103,0.457043875949413,0.624437029644592,0.539399315561514,"Mathys","CgG","Unfiltered","Glutamatergic"
"143","IT","factor(msex)1",-1.1681516885429,0.553548107936173,-2.11029840368922,0.0885883631996825,"Cain","CgG","Filtered","Glutamatergic"
"144","IT","(Intercept)",1.20737271968181,0.671218967527762,1.79877622369465,0.131965334020926,"Cain","CgG","Unfiltered","Glutamatergic"
"145","IT","scale(age_death)",0.251196270030516,0.479911775550585,0.523421767974598,0.623041777531742,"Cain","CgG","Unfiltered","Glutamatergic"
"146","IT","(Intercept)",-0.330829246231888,0.442674554797792,-0.747341907607511,0.463553931888263,"Mathys","CgG","Unfiltered","Glutamatergic"
"147","IT","(Intercept)",1.26677367871528,0.601174859787753,2.10716342856141,0.0889412712394406,"Cain","CgG","Filtered","Glutamatergic"
"148","IT","scale(age_death)",0.37331306099358,0.429831259744878,0.868510729571311,0.424831736774975,"Cain","CgG","Filtered","Glutamatergic"
"149","IT","factor(msex)1",0.384024875666027,0.42370280240327,0.906354344337146,0.375538957902597,"Mathys","CgG","Filtered","Glutamatergic"
"150","IT","scale(age_death)",0.267780183749065,0.208409590539758,1.28487457345674,0.213518282126455,"Mathys","CgG","Unfiltered","Glutamatergic"
"151","L2/3 IT","scale(pmi)",-0.163510910276049,0.217755391153136,-0.750892592877575,0.461461568772761,"Mathys","M1","Unfiltered","Glutamatergic"
"152","L2/3 IT","factor(msex)1",0.162720834446631,0.425911193688137,0.382053434749073,0.70645107546181,"Mathys","M1","Unfiltered","Glutamatergic"
"153","L2/3 IT","(Intercept)",-0.405758293664323,0.443024110236826,-0.915883095950281,0.370640074968693,"Mathys","M1","Unfiltered","Glutamatergic"
"154","L2/3 IT","LOADAD",-0.183044075867787,0.575722252676683,-0.317938163787776,0.756486034598866,"Zhou","M1","Filtered","Glutamatergic"
"155","L2/3 IT","scale(pmi)",0.86608535081938,0.341877777128381,2.53331865584861,0.0523179105214002,"Cain","M1","Filtered","Glutamatergic"
"156","L2/3 IT","LOADAD",0.511956708015532,0.457404778040993,1.11926401426802,0.276290245956241,"Mathys","M1","Unfiltered","Glutamatergic"
