"","subclass","term","estimate","std.error","statistic","p.value","dataset","class"
"341","Oli3","(Intercept)",0.0231237330091831,0.471643246217329,0.0490280168212731,0.961383286419755,"Mathys","Oli"
"342","Oli3","scale(age_death)",-0.137599523532366,0.222047946419454,-0.619683837437693,0.54246207557505,"Mathys","Oli"
"343","Oli3","factor(msex)1",-0.193588813920406,0.453424843817163,-0.426947964056571,0.673978133263989,"Mathys","Oli"
"344","Oli3","scale(pmi)",-0.0904065514356969,0.231822280529807,-0.389982150244928,0.700671891486334,"Mathys","Oli"
"345","Oli3","LOADAD",0.109060777613456,0.486952897970378,0.223965763563626,0.825055947207729,"Mathys","Oli"
"346","Oli4","(Intercept)",0.632478537573042,0.436522032836155,1.44890404148383,0.16286298358029,"Mathys","Oli"
"347","Oli4","scale(age_death)",-0.18011466070491,0.205513005296909,-0.876414903498172,0.391209955085989,"Mathys","Oli"
"348","Oli4","factor(msex)1",-0.431677479161615,0.419660275322334,-1.02863555248362,0.315931336294678,"Mathys","Oli"
"349","Oli4","scale(pmi)",0.129771795229674,0.21455948742019,0.604828976756133,0.552093746093812,"Mathys","Oli"
"350","Oli4","LOADAD",-0.664489605586667,0.450691641664126,-1.47437747709968,0.155947738762112,"Mathys","Oli"
"351","Oli5","(Intercept)",0.0810630154196783,0.412786258726117,0.196380120961011,0.846294385564156,"Mathys","Oli"
"352","Oli5","scale(age_death)",-0.35085832664113,0.194338288092582,-1.80539990387269,0.0860890566298495,"Mathys","Oli"
"353","Oli5","factor(msex)1",-0.606812609726888,0.396841354973025,-1.52910628421812,0.141900984909291,"Mathys","Oli"
"354","Oli5","scale(pmi)",0.309081950581014,0.202892870059589,1.52337512151234,0.143321222052245,"Mathys","Oli"
"355","Oli5","LOADAD",0.328448495701918,0.426185398690964,0.770670456357148,0.449911156945536,"Mathys","Oli"
"356","Olig.1","(Intercept)",-0.744210426571758,0.406191969868249,-1.83216430106471,0.12641522564788,"Cain","Olig"
"357","Olig.1","scale(age_death)",-0.762713325578504,0.290421336262072,-2.62623034311171,0.0467451827514714,"Cain","Olig"
"358","Olig.1","factor(msex)1",0.901441396097932,0.374012307265842,2.41019180007144,0.0608496572608968,"Cain","Olig"
"359","Olig.1","scale(pmi)",-0.526827729846777,0.227601462358982,-2.31469395840631,0.0685051247828644,"Cain","Olig"
"360","Olig.1","LOADAD",0.586979457045586,0.604105152751299,0.971651134528952,0.375849895911947,"Cain","Olig"
"361","Olig.2","(Intercept)",-0.635802571229839,0.841416703957715,-0.755633407607976,0.483925089793451,"Cain","Olig"
"362","Olig.2","scale(age_death)",-0.833996091506815,0.601600675650702,-1.38629513772529,0.224293545782739,"Cain","Olig"
"363","Olig.2","factor(msex)1",-0.102796339315052,0.77475732206454,-0.132681984909964,0.899619243852537,"Cain","Olig"
"364","Olig.2","scale(pmi)",-0.197302423628122,0.471470847481715,-0.418482764484763,0.692961537562909,"Cain","Olig"
"365","Olig.2","LOADAD",1.37440148177473,1.25138900859301,1.09830074608057,0.322124804769555,"Cain","Olig"
"366","Olig.3","(Intercept)",-0.227225224336213,0.83919539539102,-0.270765575674231,0.797393240995075,"Cain","Olig"
"367","Olig.3","scale(age_death)",0.311312121127704,0.600012472411728,0.51884274984551,0.62600813755156,"Cain","Olig"
"368","Olig.3","factor(msex)1",-0.007331228959841,0.77271199176801,-0.00948766039344973,0.992796970964438,"Cain","Olig"
"369","Olig.3","scale(pmi)",-0.306758909817591,0.470226182112545,-0.652364588546391,0.542963618614652,"Cain","Olig"
"370","Olig.3","LOADAD",0.461781677632267,1.24808538850563,0.369992054938783,0.726543176013644,"Cain","Olig"
"371","Olig.4","(Intercept)",-0.798935732088829,0.388318584597542,-2.05742337291648,0.0947433456187454,"Cain","Olig"
"372","Olig.4","scale(age_death)",-0.555573441618436,0.277642126383726,-2.00104158851811,0.101803978304226,"Cain","Olig"
"373","Olig.4","factor(msex)1",-0.271798401912303,0.357554901507878,-0.760158512066473,0.481445918418109,"Cain","Olig"
"374","Olig.4","scale(pmi)",0.302677874309111,0.217586472091602,1.39106935922784,0.222931251948696,"Cain","Olig"
"375","Olig.4","LOADAD",1.86966986608996,0.577523130111499,3.23739391308708,0.0230158137306102,"Cain","Olig"
"376","OPC.NA","(Intercept)",-0.467026105022179,0.82512636547596,-0.566005553286111,0.59584745159155,"Cain","OPC"
"377","OPC.NA","scale(age_death)",0.22218086774515,0.589953321145966,0.376607537887185,0.721918200718094,"Cain","OPC"
"378","OPC.NA","factor(msex)1",0.697668878458775,0.759757549706463,0.91827830961117,0.400601598437977,"Cain","OPC"
"379","OPC.NA","scale(pmi)",-0.519159891876076,0.46234288549376,-1.12288932773701,0.312490197123482,"Cain","OPC"
"380","OPC.NA","LOADAD",0.236383331585582,1.22716135726824,0.19262612058759,0.854831366055225,"Cain","OPC"
"381","Opc0","(Intercept)",0.277172087195685,0.45956112750425,0.603123438009064,0.553205353505805,"Mathys","Opc"
"382","Opc0","scale(age_death)",0.00861671974344352,0.216359728322085,0.0398258946351431,0.968626812418041,"Mathys","Opc"
"383","Opc0","factor(msex)1",-0.315568832417588,0.44180942721914,-0.714264596850859,0.483317347034669,"Mathys","Opc"
"384","Opc0","scale(pmi)",0.247748647526767,0.225883672617657,1.09679750048212,0.285760888996248,"Mathys","Opc"
"385","Opc0","LOADAD",-0.196404761930067,0.474478590815251,-0.413938090636721,0.683324790825592,"Mathys","Opc"
"386","Opc1","(Intercept)",-0.462063322876111,0.432463981492825,-1.06844348350379,0.298047521633631,"Mathys","Opc"
"387","Opc1","scale(age_death)",-0.0272459140021189,0.203602489298901,-0.133819159559097,0.894882989727533,"Mathys","Opc"
"388","Opc1","factor(msex)1",0.649647190233815,0.415758976382281,1.56255721977841,0.133842028188164,"Mathys","Opc"
"389","Opc1","scale(pmi)",-0.317267138763708,0.212564872370653,-1.49256617627057,0.151158243026209,"Mathys","Opc"
"390","Opc1","LOADAD",0.234738549318562,0.446501865010702,0.525728037693495,0.604858015659688,"Mathys","Opc"
"391","Opc2","(Intercept)",-0.10684467113743,0.191565411345093,-0.557745108509992,0.583208201748667,"Mathys","Opc"
"392","Opc2","scale(age_death)",0.0717193364753336,0.0901883076569599,0.795217676643021,0.435823315564287,"Mathys","Opc"
"393","Opc2","factor(msex)1",0.206358260659909,0.184165717237674,1.12050311944646,0.275774685255737,"Mathys","Opc"
"394","Opc2","scale(pmi)",0.897363816676638,0.0941583090287409,9.5303731124008,7.05935965120201e-09,"Mathys","Opc"
"395","Opc2","LOADAD",0.0121761031573027,0.197783670080152,0.0615627324155138,0.951522125245034,"Mathys","Opc"
"396","Per","(Intercept)",-0.0185004436661658,0.464750583871086,-0.0398072521223502,0.968641490071526,"Mathys","Per"
"397","Per","scale(age_death)",0.0141653940593812,0.218802905741736,0.0647404293437553,0.949023410386513,"Mathys","Per"
"398","Per","factor(msex)1",0.208841352146607,0.446798427828182,0.467417383632598,0.645253887400715,"Mathys","Per"
"399","Per","scale(pmi)",-0.266668857571576,0.228434396325287,-1.16737611262292,0.25678834468837,"Mathys","Per"
"400","Per","LOADAD",-0.127724070881571,0.479836498167871,-0.266182483761138,0.792823524326909,"Mathys","Per"
"401","Peri.NA","(Intercept)",-0.233313204068615,0.725309913125105,-0.321673811217263,0.760712512998947,"Cain","Peri"
"402","Peri.NA","scale(age_death)",-0.810481768681424,0.518586013018044,-1.56286854704125,0.178845549281431,"Cain","Peri"
"403","Peri.NA","factor(msex)1",0.0607354919654772,0.667848835560924,0.0909419747875516,0.931069615220652,"Cain","Peri"
"404","Peri.NA","scale(pmi)",-0.0498607359286309,0.406412753418748,-0.122684968690578,0.907135314501615,"Cain","Peri"
"405","Peri.NA","LOADAD",0.405890916171755,1.07871028568732,0.376274261548488,0.722150879178379,"Cain","Peri"
