"","gene","entrez_id","cluster","adapted_cluster_name","pct.1","pct.2","avg_logFC","MAST_p_val","MAST_p_val_adj","roc_myAUC","roc_power"
"658","LOC105371641",105371641,"Inh_LAMP5","LAMP5.PAX6.Other",0.495,0.228,2.73211881500833,0,0,0.668,0.336
"659","LOC105371671",105371671,"Pyramidal","Pyramidal",0.488,0.177,2.93393699221614,0,0,0.679,0.358
"660","LOC105371765",105371765,"VLMC_CYP1B1","VLMC_CYP1B1",0.364,0.166,3.14465458550921,0.0331102203086725,1,0.601,0.202
"661","LOC105371832",105371832,"Pyramidal","Pyramidal",0.868,0.385,4.18025799104238,0,0,0.869,0.738
"662","LOC105372526",105372526,"VLMC_CYP1B1","VLMC_CYP1B1",0.364,0.091,3.69665810970854,9.49104738584916e-06,0.477219353607881,0.648,0.296
"663","LOC105372633",105372633,"Astro_FGFR3","Astrocyte",0.4,0.103,2.69420203061674,1.13895352712478e-229,5.7267722297361e-225,0.66,0.32
"664","LOC105372639",105372639,"Endo_CLDN5","Endothelial",0.357,0.086,2.78056050937705,2.64093561699568e-37,1.3278888375816e-32,0.649,0.298
"665","LOC105372768",105372768,"Inh_SST","SST",0.753,0.07,2.76953848806484,0,0,0.851,0.702
"666","LOC105372776",105372776,"Micro_C1QC","Microglia",0.531,0.386,4.18667566850152,0,0,0.641,0.282
"667","LOC105372984",105372984,"Micro_C1QC","Microglia",0.455,0.037,5.25424090778946,0,0,0.717,0.434
"668","LOC105373171",105373171,"VLMC_CYP1B1","VLMC_CYP1B1",0.455,0.162,2.84143029606859,0.00913997920214783,1,0.661,0.322
"669","LOC105373220",105373220,"VLMC_CYP1B1","VLMC_CYP1B1",0.364,0.285,3.73793751700798,1.48277822488529e-10,7.45555719254573e-06,0.575,0.15
"670","LOC105373335",105373335,"Oligo","Oligo",0.354,0.178,3.77140207954719,0,0,0.612,0.224
"671","LOC105373437",105373437,"Endo_CLDN5","Endothelial",0.886,0.057,2.88658047088964,4.67327940062455e-82,2.34977161542803e-77,0.931,0.862
"672","LOC105373642",105373642,"Inh_VIP","VIP",0.827,0.255,2.90516724720015,0,0,0.868,0.736
"673","LOC105373643",105373643,"Inh_VIP","VIP",0.578,0.048,2.84109279102706,0,0,0.772,0.544
"674","LOC105373720",105373720,"Pyramidal","Pyramidal",0.499,0.05,3.43265925078587,0,0,0.735,0.47
"675","LOC105373891",105373891,"Pyramidal","Pyramidal",0.429,0.055,2.65573753989998,0,0,0.696,0.392
"676","LOC105373893",105373893,"Pyramidal","Pyramidal",0.873,0.365,4.50633002443013,0,0,0.887,0.774
"677","LOC105373895",105373895,"Pyramidal","Pyramidal",0.692,0.185,3.43826557525895,0,0,0.803,0.606
"678","LOC105373896",105373896,"Pyramidal","Pyramidal",0.721,0.091,4.09297831028032,0,0,0.844,0.688
"679","LOC105374211",105374211,"Oligo","Oligo",0.404,0.141,4.34816899320604,0,0,0.656,0.312
"680","LOC105374213",105374213,"Oligo","Oligo",0.435,0.165,3.50640943667692,0,0,0.66,0.32
"681","LOC105374438",105374438,"Endo_CLDN5","Endothelial",0.357,0.07,4.62722636021615,1.09240361884633e-64,5.49271463592124e-60,0.654,0.308
"682","LOC105374460",105374460,"Oligo","Oligo",0.384,0.085,2.77361853432943,0,0,0.659,0.318
"683","LOC105374461",105374461,"Oligo","Oligo",0.392,0.191,2.82435611127379,0,0,0.629,0.258
"684","LOC105374524",105374524,"Pyramidal","Pyramidal",0.553,0.278,3.38432196601255,0,0,0.677,0.354
"685","LOC105374763",105374763,"VLMC_CYP1B1","VLMC_CYP1B1",0.455,0.435,3.33691148838734,0.0300167445717595,1,0.551,0.102
"686","LOC105374875",105374875,"OPC_MYT1","OPC",0.464,0.133,2.90807271651398,2.40923928126251e-203,1.2113896030116e-198,0.684,0.368
"687","LOC105374971",105374971,"Pyramidal","Pyramidal",0.622,0.341,3.97657480574546,0,0,0.681,0.362
"688","LOC105375159",105375159,"Pyramidal","Pyramidal",0.703,0.222,2.8351097793127,0,0,0.797,0.594
"689","LOC105375405",105375405,"Astro_FGFR3","Astrocyte",0.355,0.05,2.50058036731576,4.62483067717378e-227,2.32541111278975e-222,0.656,0.312
"690","LOC105375415",105375415,"Inh_VIP","VIP",0.885,0.131,2.61929125987754,0,0,0.904,0.808
"691","LOC105375483",105375483,"Oligo","Oligo",0.636,0.375,4.55049149445027,0,0,0.724,0.448
"692","LOC105375557",105375557,"Inh_PVALB","PVALB",0.461,0.351,2.52239981891083,1.86934100230214e-258,9.3992334936754e-254,0.572,0.144
"693","LOC105375920",105375920,"VLMC_CYP1B1","VLMC_CYP1B1",0.727,0.356,3.23078854033072,1.89328425664758e-19,9.51962257084969e-15,0.755,0.51
"694","LOC105375929",105375929,"Pyramidal","Pyramidal",0.357,0.117,3.02445400145144,0,0,0.631,0.262
"695","LOC105375931",105375931,"Pyramidal","Pyramidal",0.599,0.289,3.42497250335787,0,0,0.694,0.388
"696","LOC105375943",105375943,"Micro_C1QC","Microglia",0.148,0.395,2.80043878373361,0,0,0.395,0.21
"697","LOC105375974",105375974,"Pyramidal","Pyramidal",0.377,0.245,2.63045359710216,6.11317517716817e-175,3.07376561083193e-170,0.57,0.14
"698","LOC105376219",105376219,"Micro_C1QC","Microglia",0.425,0.368,4.16139465942773,0,0,0.584,0.168
"699","LOC105376244",105376244,"Astro_FGFR3","Astrocyte",0.646,0.069,3.30239175102763,0,0,0.804,0.608
"700","LOC105376287",105376287,"Micro_C1QC","Microglia",0.36,0.239,2.77195042510588,3.86867088501234e-279,1.94520640769306e-274,0.592,0.184
