"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"453","CLDN5",7122,"ENSG00000184113","Pericyte",0.243,0.001,6.66198796644925,0.666,0.332,6.06728205653107e-157,1.08762098145376e-152
"454","CLDND1",56650,"ENSG00000080822","Oligodendrocyte",0.488,0.134,2.92337226675838,0.697,0.394,0,0
"455","CLEC2L",154790,"ENSG00000236279","PVALB",0.294,0.1,1.36988216177242,0.582,0.164,1.36567999512279e-235,2.44811795925711e-231
"456","CLIC4",25932,"ENSG00000169504","Oligodendrocyte",0.238,0.04,2.8550376186021,0.688,0.376,0,0
"457","CLIC5",53405,"ENSG00000112782","L5.6.NP",0.267,0.038,1.95397029205823,0.618,0.236,2.46545997659843e-60,4.41958355405035e-56
"458","CLMN",79789,"ENSG00000165959","Oligodendrocyte",0.549,0.067,3.74079529709098,0.779,0.558,0,0
"459","CLMP",79827,"ENSG00000166250","PVALB",0.226,0.064,1.33257951375784,0.569,0.138,2.30733987729644e-184,4.13613746404161e-180
"460","CLMP",79827,"ENSG00000166250","Pericyte",0.16,0.071,2.31573116824978,0.565,0.13,3.64003823510758e-40,6.52513254025385e-36
"461","CLSTN2",64084,"ENSG00000158258","IT",0.558,0.114,1.50860279658508,0.665,0.33,0,0
"462","CLU",1191,"ENSG00000120885","Astrocyte",0.762,0.431,1.65130712411733,0.599,0.198,0,0
"463","CLYBL",171425,"ENSG00000125246","Astrocyte",0.33,0.101,2.05613447068065,0.637,0.274,0,0
"464","CMYA5",202333,"ENSG00000164309","OPC",0.328,0.09,1.87006752846833,0.68,0.36,0,0
"465","CNDP1",84735,"ENSG00000150656","Oligodendrocyte",0.438,0.016,4.8671907610838,0.942,0.884,0,0
"466","CNGB1",1258,"ENSG00000070729","IT",0.155,0.006,2.63953063116673,0.88,0.76,0,0
"467","CNIH2",254263,"ENSG00000174871","IT",0.152,0.025,1.44236193419927,0.65,0.3,0,0
"468","CNKSR2",22866,"ENSG00000149970","IT",0.75,0.153,1.76672193464942,0.724,0.448,0,0
"469","CNN3",1266,"ENSG00000117519","Astrocyte",0.195,0.052,1.95303574963252,0.569,0.138,3.4688893412543e-308,6.21833103313247e-304
