"","gene","entrez_id","ensembl_id","class","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"141","KYNU",8942,"ENSG00000115919","Non-neuronal",0.296,0.38,2.94113797722837,0.485,0.03,3.47727304357547e-240,1.74840765904018e-235
"142","LAMA1",284217,"ENSG00000101680","Non-neuronal",0.531,0.502,3.17660266767965,0.588,0.176,0,0
"143","LDB3",11155,"ENSG00000122367","Non-neuronal",0.464,0.331,3.13701356122063,0.616,0.232,0,0
"144","LHFPL3",375612,"ENSG00000187416","Non-neuronal",0.663,0.807,2.63611846061583,0.496,0.00800000000000001,2.1244466295935e-231,1.06819300982591e-226
"145","LHX6",26468,"ENSG00000106852","GABAergic",0.378,0.043,3.32119140697833,0.674,0.348,0,0
"146","LINC00470",56651,NA,"Glutamatergic",0.487,0.145,3.00167695380964,0.693,0.386,0,0
"147","LINC00507",100862680,NA,"Glutamatergic",0.358,0.016,3.57276367573153,0.674,0.348,0,0
"148","LINC00609",101101773,NA,"Non-neuronal",0.496,0.265,3.71989276998878,0.663,0.326,0,0
"149","LINC00639",283547,NA,"Non-neuronal",0.437,0.271,4.4248227334381,0.632,0.264,0,0
"150","LINC00710",254312,NA,"Glutamatergic",0.775,0.049,3.23006649657685,0.876,0.752,0,0
"151","LINC01170",103724389,NA,"Non-neuronal",0.584,0.56,3.45250366441137,0.617,0.234,0,0
"152","LINC01202",104326188,NA,"Glutamatergic",0.699,0.214,3.69035883568834,0.799,0.598,0,0
"153","LINC01250",101927554,NA,"Glutamatergic",0.969,0.428,2.52027530672396,0.93,0.86,0,0
"154","LINC01378",103689918,NA,"Glutamatergic",0.793,0.395,3.30224747942126,0.795,0.59,0,0
"155","LINC01411",101928176,NA,"Non-neuronal",0.43,0.384,2.95558881634918,0.576,0.152,0,0
"156","LINC01470",101927134,NA,"Non-neuronal",0.701,0.809,2.72117852939022,0.553,0.106,0,0
"157","LINC01478",101927921,NA,"Glutamatergic",0.657,0.41,2.54877941742752,0.656,0.312,0,0
"158","LINCR.0002",NA,NA,"Glutamatergic",0.809,0.202,4.34053657891965,0.874,0.748,0,0
"159","LITAF",9516,"ENSG00000189067","Non-neuronal",0.497,0.482,3.04987166212272,0.576,0.152,0,0
"160","LOC100132891",100132891,NA,"Glutamatergic",0.716,0.262,2.9744159972512,0.789,0.578,0,0
"161","LOC100507336",100507336,NA,"Non-neuronal",0.39,0.242,4.39040517936956,0.61,0.22,0,0
"162","LOC101926964",101926964,NA,"Non-neuronal",0.436,0.372,2.85817816417865,0.58,0.16,0,0
"163","LOC101927406",101927406,NA,"Glutamatergic",0.481,0.13,3.14081809542315,0.696,0.392,0,0
"164","LOC101927437",101927437,NA,"Non-neuronal",0.37,0.219,3.94807922299199,0.607,0.214,0,0
"165","LOC101927459",101927459,NA,"Non-neuronal",0.448,0.228,5.08298907702339,0.652,0.304,0,0
"166","LOC101927745",101927745,NA,"Glutamatergic",0.466,0.116,3.53723395749354,0.695,0.39,0,0
